Rank	Full.Journal.Title	Issn	Total.Cites	Journal.Impact.Factor	5-Year.Impact.Factor	Eigenfactor.Score
1364	"BIOLOGY OF THE CELL"	0248-4900	"Not Available"	3.506	3.778	0.004710
1365	"JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY"	0815-9319	"Not Available"	3.504	3.550	0.021400
1365	"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION"	1067-5027	"Not Available"	3.504	3.866	0.014970
1368	"PHOTOSYNTHESIS RESEARCH"	0166-8595	"Not Available"	3.502	3.633	0.008070
1369	"JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH"	0143-005X	"Not Available"	3.501	3.546	0.018860
1369	"MATERIALS & DESIGN"	0261-3069	"Not Available"	3.501	3.626	0.049050
137	"Cell Host & Microbe"	1931-3128	"Not Available"	12.328	13.126	0.051850
1372	"Cancer Control"	1073-2748	"Not Available"	3.500	3.263	0.002500
1372	"LANDSCAPE ECOLOGY"	0921-2973	"Not Available"	3.500	3.861	0.010800
1372	"SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL"	1359-8546	"Not Available"	3.500	3.902	0.003030
1375	"JOURNAL OF CLINICAL GASTROENTEROLOGY"	0192-0790	"Not Available"	3.498	3.397	0.012990
1376	"AIDS PATIENT CARE AND STDS"	1087-2914	"Not Available"	3.497	3.306	0.007420
1378	"PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC"	0004-6280	"Not Available"	3.496	3.433	0.023180
1379	"CLINICAL & EXPERIMENTAL METASTASIS"	0262-0898	"Not Available"	3.491	3.771	0.007100
1379	"Current Opinion in Environmental Sustainability"	1877-3435	"Not Available"	3.491	3.985	0.006950
138	"AMERICAN JOURNAL OF PSYCHIATRY"	0002-953X	"Not Available"	12.295	14.644	0.048430
1381	"Biotechnology Journal"	1860-6768	"Not Available"	0.009050		
1382	"BIOGEOCHEMISTRY"	0168-2563	"Not Available"	3.488	4.143	0.012800
1382	"OPTICS EXPRESS"	1094-4087	"Not Available"	3.488	3.499	0.249510
1382	"Progress in Molecular Biology and Translational Science"	1877-1173	"Not Available"	3.488	3.121	0.008130
1385	"EXPERIMENTAL GERONTOLOGY"	0531-5565	"Not Available"	3.485	3.802	0.011590
1386	"CONTRIBUTIONS TO MINERALOGY AND PETROLOGY"	0010-7999	"Not Available"	3.484	4.035	0.014690
1387	"Advances in Marine Biology"	0065-2881	"Not Available"	3.483	3.800	0.001270
1387	"SEMINARS IN NEPHROLOGY"	0270-9295	"Not Available"	3.483	3.253	0.005180
1389	"JOURNAL OF ABNORMAL CHILD PSYCHOLOGY"	0091-0627	"Not Available"	3.481	4.213	0.012380
1389	"Pharmacogenetics and Genomics"	1744-6872	"Not Available"	3.481	3.561	0.007720
1389	"UNIVERSITY OF PENNSYLVANIA LAW REVIEW"	0041-9907	"Not Available"	3.481	3.320	0.004580
1392	"COGNITION"	0010-0277	"Not Available"	3.479	4.623	0.024610
1393	"BEST PRACTICE & RESEARCH IN CLINICAL GASTROENTEROLOGY"	1521-6918	"Not Available"	3.478	3.379	0.005200
1394	"RENEWABLE ENERGY"	0960-1481	"Not Available"	3.476	3.982	0.032900
1395	"Journal of Cystic Fibrosis"	1569-1993	"Not Available"	3.475	3.502	0.007580
1396	"PSYCHOSOMATIC MEDICINE"	0033-3174	"Not Available"	3.473	4.819	0.015650
1398	"ANESTHESIA AND ANALGESIA"	0003-2999	"Not Available"	3.472	3.454	0.030840
1399	"HEALTH POLICY AND PLANNING"	0268-1080	"Not Available"	3.470	3.552	0.007210
1399	"International Journal of Applied Earth Observation and Geoinformation"	0303-2434	"Not Available"	3.470	3.487	0.006560
14	"NATURE REVIEWS IMMUNOLOGY"	1474-1733	"Not Available"	34.985	37.316	0.094920
140	"COORDINATION CHEMISTRY REVIEWS"	0010-8545	"Not Available"	12.239	13.174	0.039260
1402	"IEEE Transactions on Cybernetics"	2168-2267	723	3.469	3.475	0.002830
1402	"SOLAR ENERGY"	0038-092X	"Not Available"	3.469	4.452	0.020430
1404	"BRAIN TOPOGRAPHY"	0896-0267	"Not Available"	3.468	3.716	0.003850
1404	"CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY"	1064-3389	"Not Available"	3.468	4.651	0.004720
1404	"JOURNAL OF REFRACTIVE SURGERY"	1081-597X	"Not Available"	3.468	3.146	0.009040
1407	"Blood Cancer Journal"	2044-5385	458	3.467	3.483	0.002110
1407	"EUROPEAN JOURNAL OF NUTRITION"	1436-6207	"Not Available"	3.467	3.255	0.006710
1407	"Journal of the Academy of Nutrition and Dietetics"	2212-2672	"Not Available"	3.467	3.497	0.005560
141	"Annual Review of Microbiology"	0066-4227	"Not Available"	12.182	16.132	0.016250
1410	"JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY"	0267-9477	"Not Available"	3.466	3.020	0.012370
1411	"Expert Review of Anti-Infective Therapy"	1478-7210	"Not Available"	3.461	3.485	0.009320
1412	"MYCORRHIZA"	0940-6360	"Not Available"	3.459	3.241	0.003880
1413	"BROOKINGS PAPERS ON ECONOMIC ACTIVITY"	0007-2303	"Not Available"	3.458	5.932	0.007880
1414	"CLINICAL ENDOCRINOLOGY"	0300-0664	"Not Available"	3.457	3.412	0.021190
1415	"SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH"	0355-3140	"Not Available"	3.454	4.060	0.005890
1417	"BRITISH JOURNAL OF NUTRITION"	0007-1145	"Not Available"	3.453	3.572	0.039530
1417	"HISTOPATHOLOGY"	0309-0167	"Not Available"	3.453	3.432	0.016010
1417	"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS"	0733-8716	"Not Available"	3.453	3.822	0.032510
1417	"MICROPOROUS AND MESOPOROUS MATERIALS"	1387-1811	"Not Available"	3.453	3.552	0.028550
1417	"Neural Development"	1749-8104	957	3.453	3.712	0.004090
142	"JOURNAL OF THE AMERICAN CHEMICAL SOCIETY"	0002-7863	"Not Available"	12.113	11.726	0.813230
1422	"CURRENT PHARMACEUTICAL DESIGN"	1381-6128	"Not Available"	3.452	3.504	0.031610
1423	"AQUATIC TOXICOLOGY"	0166-445X	"Not Available"	3.451	4.113	0.017230
1424	"INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY"	0965-1748	"Not Available"	3.450	3.650	0.007820
1425	"JOURNAL OF GENERAL INTERNAL MEDICINE"	0884-8734	"Not Available"	3.449	3.906	0.030490
1426	"EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY"	0223-5234	"Not Available"	3.447	3.946	0.038690
1426	"SURVEYS IN GEOPHYSICS"	0169-3298	"Not Available"	3.447	4.451	0.005680
1428	"EXPERIMENTAL AND MOLECULAR MEDICINE"	1226-3613	"Not Available"	3.446	2.831	0.005320
1429	"ECOLOGICAL INDICATORS"	1470-160X	"Not Available"	3.444	3.494	0.016850
1429	"JOURNAL OF INORGANIC BIOCHEMISTRY"	0162-0134	"Not Available"	3.444	3.447	0.012200
1429	"OIKOS"	0030-1299	"Not Available"	3.444	3.926	0.025190
143	"JAMA Psychiatry"	2168-622X	"Not Available"	12.008	12.008	0.009990
1432	"EUROPEAN PSYCHIATRY"	0924-9338	"Not Available"	3.439	3.310	0.007240
1434	"DIFFERENTIATION"	0301-4681	"Not Available"	3.437	3.112	0.005320
1435	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	1618-2642	"Not Available"	3.436	3.565	0.062610
1436	"CURRENT HYPERTENSION REPORTS"	1522-6417	"Not Available"	3.435	3.140	0.005090
1437	"CLIMATIC CHANGE"	0165-0009	"Not Available"	3.430	4.610	0.038330
1437	"Parasites & Vectors"	1756-3305	"Not Available"	3.430	3.434	0.013180
1439	"Solid State Physics"	0081-1947	"Not Available"	3.429	5.050	0.000600
1440	"JOURNAL OF MEDICAL INTERNET RESEARCH"	1438-8871	"Not Available"	3.428	4.489	0.013680
1441	"IEEE-ASME TRANSACTIONS ON MECHATRONICS"	1083-4435	"Not Available"	3.427	3.634	0.011100
1442	"JOURNAL OF GEOPHYSICAL RESEARCH"	0148-0227	"Not Available"	3.426	3.667	0.314860
1443	"PROSTATE CANCER AND PROSTATIC DISEASES"	1365-7852	"Not Available"	3.425	3.003	0.004570
1444	"DRUG AND ALCOHOL DEPENDENCE"	0376-8716	"Not Available"	3.423	3.903	0.029970
1446	"PHARMACEUTICAL RESEARCH"	0724-8741	"Not Available"	3.420	4.290	0.021130
1447	"CHEMPHYSCHEM"	1439-4235	"Not Available"	3.419	3.243	0.037310
1447	"International Review of Cell and Molecular Biology"	1937-6448	"Not Available"	3.419	4.172	0.005180
1447	"JOURNAL OF DERMATOLOGICAL SCIENCE"	0923-1811	"Not Available"	3.419	3.817	0.007960
145	"TRENDS IN CELL BIOLOGY"	0962-8924	"Not Available"	12.007	12.140	0.034740
1450	"ADVANCES IN WATER RESOURCES"	0309-1708	"Not Available"	3.417	3.593	0.016710
1450	"Current Atherosclerosis Reports"	1523-3804	"Not Available"	3.417	2.911	0.004960
1450	"JOURNAL OF CLINICAL EPIDEMIOLOGY"	0895-4356	"Not Available"	3.417	6.269	0.033300
1450	"Journal of the Mechanical Behavior of Biomedical Materials"	1751-6161	"Not Available"	3.417	3.478	0.012500
1454	"AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS"	1552-4841	"Not Available"	3.416	3.311	0.010810
1455	"BIOFOULING"	0892-7014	"Not Available"	3.415	3.896	0.006100
1455	"Wiley Interdisciplinary Reviews-Climate Change"	1757-7780	"Not Available"	3.415	5.210	0.006860
1458	"HEALTH EXPECTATIONS"	1369-6513	"Not Available"	3.410	3.244	0.003680
146	"TRENDS IN BIOTECHNOLOGY"	0167-7799	"Not Available"	11.958	11.681	0.021090
1460	"AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY"	0004-8674	"Not Available"	3.407	3.616	0.009200
1462	"BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION"	1083-8791	"Not Available"	3.404	3.615	0.022180
1462	"ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA"	0889-8529	"Not Available"	3.404	3.313	0.004160
1462	"INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE"	0146-0404	"Not Available"	3.404	3.673	0.076240
1465	"BIOLOGICAL PSYCHOLOGY"	0301-0511	"Not Available"	3.403	3.945	0.014930
1467	"AGRICULTURE ECOSYSTEMS & ENVIRONMENT"	0167-8809	"Not Available"	3.402	3.987	0.021880
1467	"American Journal of Translational Research"	1943-8141	788	3.402	3.519	0.003200
1467	"CURRENT TOPICS IN MEDICINAL CHEMISTRY"	1568-0266	"Not Available"	3.402	3.632	0.012330
147	"Wiley Interdisciplinary Reviews-Computational Molecular Science"	1759-0876	"Not Available"	11.885	11.118	0.008530
1470	"SEXUALLY TRANSMITTED INFECTIONS"	1368-4973	"Not Available"	3.401	3.150	0.012840
1471	"BIOLOGY AND FERTILITY OF SOILS"	0178-2762	"Not Available"	3.398	3.145	0.006080
1471	"CLINICAL ONCOLOGY"	0936-6555	"Not Available"	3.398	2.969	0.007100
1473	"MECHANISMS OF AGEING AND DEVELOPMENT"	0047-6374	"Not Available"	3.397	3.746	0.006640
1473	"PEDIATRIC ALLERGY AND IMMUNOLOGY"	0905-6157	"Not Available"	3.397	2.884	0.007070
1475	"BEHAVIOUR RESEARCH AND THERAPY"	0005-7967	"Not Available"	3.395	4.609	0.017340
1476	"BIOMASS & BIOENERGY"	0961-9534	"Not Available"	3.394	4.273	0.030230
1477	"FOOD CHEMISTRY"	0308-8146	"Not Available"	3.391	3.901	0.089820
1478	"AGE"	0161-9152	"Not Available"	3.390	3.437	0.007380
1478	"IEEE TRANSACTIONS ON MEDICAL IMAGING"	0278-0062	"Not Available"	3.390	4.288	0.020700
148	"Annual Review of Materials Research"	1531-7331	"Not Available"	11.854	17.970	0.011140
1480	"JOURNAL OF PEACE RESEARCH"	0022-3433	"Not Available"	3.387	3.549	0.010880
1481	"GROWTH FACTORS"	0897-7194	"Not Available"	3.386	2.958	0.002330
1482	"EMOTION"	1528-3542	"Not Available"	3.383	4.404	0.017980
1482	"JOURNAL OF AFFECTIVE DISORDERS"	0165-0327	"Not Available"	3.383	3.939	0.044530
1482	"MILBANK QUARTERLY"	0887-378X	"Not Available"	3.383	6.342	0.006090
1487	"ANAESTHESIA"	0003-2409	"Not Available"	3.382	2.881	0.009180
1487	"Climate of the Past"	1814-9324	"Not Available"	3.382	3.684	0.013440
1489	"INTERNATIONAL JOURNAL OF COAL GEOLOGY"	0166-5162	"Not Available"	3.381	3.726	0.008290
149	"BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY"	0003-0007	"Not Available"	11.808	10.666	0.035450
1490	"SURGERY"	0039-6060	"Not Available"	3.380	3.772	0.026020
1491	"NEUROTOXICOLOGY"	0161-813X	"Not Available"	3.379	3.295	0.008130
1492	"Cell Communication and Signaling"	1478-811X	"Not Available"	3.378	4.958	0.005310
1493	"JOURNAL OF NEUROLOGY"	0340-5354	"Not Available"	3.377	3.495	0.025310
1494	"JOURNAL OF ENDODONTICS"	0099-2399	"Not Available"	3.375	3.586	0.015230
1495	"Biointerphases"	1934-8630	925	3.374	3.072	0.002230
1496	"ACM COMPUTING SURVEYS"	0360-0300	"Not Available"	3.373	5.949	0.008920
1497	"Database-The Journal of Biological Databases and Curation"	1758-0463	"Not Available"	3.372	4.510	0.006900
1497	"Environmental Health"	1476-069X	"Not Available"	3.372	3.763	0.010600
1499	"ARTIFICIAL INTELLIGENCE"	0004-3702	"Not Available"	3.371	3.726	0.008680
15	"Nature Nanotechnology"	1748-3387	"Not Available"	34.048	37.601	0.152760
150	"ADVANCED FUNCTIONAL MATERIALS"	1616-301X	"Not Available"	11.805	12.311	0.131860
1500	"Developmental Neurobiology"	1932-8451	"Not Available"	3.370	3.791	0.009520
1501	"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A"	1549-3296	"Not Available"	3.369	3.451	0.025580
1501	"PSYCHONOMIC BULLETIN & REVIEW"	1069-9384	"Not Available"	3.369	3.650	0.017260
1503	"BMC EVOLUTIONARY BIOLOGY"	1471-2148	"Not Available"	3.368	3.847	0.036830
1503	"JOURNAL OF COLLOID AND INTERFACE SCIENCE"	0021-9797	"Not Available"	3.368	3.637	0.061240
1503	"Stem Cell Research & Therapy"	1757-6512	"Not Available"	3.368	4.084	0.004260
1506	"Current Opinion in Endocrinology Diabetes and Obesity"	1752-296X	"Not Available"	3.367	3.392	0.005880
1507	"JOURNAL OF INHERITED METABOLIC DISEASE"	0141-8955	"Not Available"	3.365	2.686	0.009620
1508	"BMC CANCER"	1471-2407	"Not Available"	3.362	3.770	0.048920
1509	"MENOPAUSE-THE JOURNAL OF THE NORTH AMERICAN MENOPAUSE SOCIETY"	1072-3714	"Not Available"	3.361	3.159	0.010610
151	"Autophagy"	1554-8627	"Not Available"	11.753	10.698	0.032890
1510	"ENVIRONMENTAL AND EXPERIMENTAL BOTANY"	0098-8472	"Not Available"	3.359	3.746	0.010680
1511	"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE"	0096-1523	"Not Available"	3.358	3.562	0.014680
1511	"JOURNAL OF RHEOLOGY"	0148-6055	"Not Available"	3.358	3.195	0.005670
1511	"MONTHLY WEATHER REVIEW"	0027-0644	"Not Available"	3.358	3.600	0.032460
1511	"Orphanet Journal of Rare Diseases"	1750-1172	"Not Available"	3.358	4.408	0.011140
1516	"Biomicrofluidics"	1932-1058	"Not Available"	3.357	3.464	0.008880
1516	"JOURNAL OF QUATERNARY SCIENCE"	0267-8179	"Not Available"	3.357	3.058	0.007720
1516	"NEUROSCIENCE"	0306-4522	"Not Available"	3.357	3.415	0.070770
1519	"Emotion Review"	1754-0739	930	3.356	3.653	0.005190
152	"Nature Geoscience"	1752-0894	"Not Available"	11.740	13.579	0.086980
1520	"Academy of Management Perspectives"	1558-9080	993	3.354	5.427	0.004630
1521	"JOURNAL OF ENDOVASCULAR THERAPY"	1526-6028	"Not Available"	3.353	2.949	0.007070
1521	"Viruses-Basel"	1999-4915	"Not Available"	3.353	3.419	0.013600
1523	"FUEL PROCESSING TECHNOLOGY"	0378-3820	"Not Available"	3.352	4.031	0.020400
1524	"EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES"	0928-0987	"Not Available"	3.350	3.463	0.012960
1525	"EUROPEAN JOURNAL OF PERSONALITY"	0890-2070	"Not Available"	3.347	3.410	0.005680
1525	"JOURNAL OF SLEEP RESEARCH"	0962-1105	"Not Available"	3.347	3.732	0.008030
1525	"Population Health Metrics"	1478-7954	774	3.347	"Not Available"	0.004180
1528	"RESPIROLOGY"	1323-7799	"Not Available"	3.345	2.650	0.009830
1529	"CHRONOBIOLOGY INTERNATIONAL"	0742-0528	"Not Available"	3.343	3.393	0.007430
153	"TRENDS IN PHARMACOLOGICAL SCIENCES"	0165-6147	"Not Available"	11.539	10.338	0.021190
1530	"SEMINARS IN NUCLEAR MEDICINE"	0001-2998	"Not Available"	3.342	3.751	0.003480
1531	"BUILDING AND ENVIRONMENT"	0360-1323	"Not Available"	3.341	3.598	0.018070
1531	"Ocular Surface"	1542-0124	944	3.341	3.667	0.001290
1531	"STRATEGIC MANAGEMENT JOURNAL"	0143-2095	"Not Available"	3.341	6.061	0.019110
1534	"CHEMOSPHERE"	0045-6535	"Not Available"	3.340	3.854	0.067070
1535	"APPLIED MICROBIOLOGY AND BIOTECHNOLOGY"	0175-7598	"Not Available"	3.337	3.848	0.052550
1536	"EUROPEAN CHILD & ADOLESCENT PSYCHIATRY"	1018-8827	"Not Available"	3.336	3.742	0.006530
1538	"Journal of Integrative Plant Biology"	1672-9072	"Not Available"	3.335	3.353	0.006810
1539	"ADMINISTRATIVE SCIENCE QUARTERLY"	0001-8392	"Not Available"	3.333	7.313	0.007830
1539	"Journal of the European Economic Association"	1542-4766	"Not Available"	3.333	3.495	0.021050
1539	"REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY"	1569-1705	"Not Available"	0.001970		
154	"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY"	0091-6749	"Not Available"	11.476	10.715	0.079860
1542	"FOOD MICROBIOLOGY"	0740-0020	"Not Available"	3.331	3.675	0.013380
1543	"CEMENT & CONCRETE COMPOSITES"	0958-9465	"Not Available"	3.330	3.770	0.011780
1543	"REVIEWS IN THE NEUROSCIENCES"	0334-1763	"Not Available"	3.330	3.358	0.003320
1545	"FLY"	1933-6934	604	3.325	2.054	0.003630
1546	"CORAL REEFS"	0722-4028	"Not Available"	3.324	3.970	0.009700
1547	"NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES"	0939-4753	"Not Available"	3.323	3.686	0.010640
1548	"VIROLOGY"	0042-6822	"Not Available"	3.321	3.177	0.034560
1549	"European Journal of Preventive Cardiology"	2047-4873	"Not Available"	3.319	3.380	0.004790
155	"Nature Communications"	2041-1723	"Not Available"	11.470	11.904	0.263260
1550	"Asian Journal of Organic Chemistry"	2193-5807	682	3.318	3.324	0.002250
1550	"BIOLOGY OF REPRODUCTION"	0006-3363	"Not Available"	3.318	3.784	0.025440
1550	"COMPOSITE STRUCTURES"	0263-8223	"Not Available"	3.318	3.500	0.026250
1550	"Cancer Research and Treatment"	1598-2998	714	3.318	2.385	0.002130
1550	"JAMA Ophthalmology"	2168-6165	734	3.318	3.318	0.003350
1550	"TECTONICS"	0278-7407	"Not Available"	3.318	3.945	0.010270
1556	"INTERNATIONAL JOURNAL OF HYDROGEN ENERGY"	0360-3199	"Not Available"	3.313	3.659	0.082260
1557	"JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY"	1537-4416	"Not Available"	3.312	3.726	0.008830
1558	"Annals of Intensive Care"	2110-5820	621	3.311	4.224	0.003260
1558	"REJUVENATION RESEARCH"	1549-1684	"Not Available"	3.311	2.845	0.003150
156	"JOURNAL OF HEPATOLOGY"	0168-8278	"Not Available"	11.336	10.305	0.072320
1560	"JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME"	0301-620X	"Not Available"	3.309	3.479	0.023510
1561	"DEVELOPMENTAL PSYCHOBIOLOGY"	0012-1630	"Not Available"	3.307	3.375	0.006300
1562	"EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY"	1010-7940	"Not Available"	3.304	2.851	0.033100
1562	"Frontiers of Hormone Research"	0301-3073	319	3.304	2.000	0.000710
1564	"Journal of Cancer Survivorship"	1932-2259	"Not Available"	3.303	3.778	0.005160
1566	"APPLIED PHYSICS LETTERS"	0003-6951	"Not Available"	3.302	3.569	0.426710
1566	"JOURNAL OF PHYSICAL CHEMISTRY B"	1520-6106	"Not Available"	3.302	3.528	0.142740
1566	"NEUROPSYCHOLOGIA"	0028-3932	"Not Available"	3.302	4.178	0.043930
157	"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION"	1433-7851	"Not Available"	11.261	12.060	0.530690
1570	"TAXON"	0040-0262	"Not Available"	3.299	3.109	0.007580
1571	"NICOTINE & TOBACCO RESEARCH"	1462-2203	"Not Available"	3.296	3.448	0.019410
1573	"Current Topics in Membranes"	1063-5823	414	3.295	1.904	0.001540
1573	"Journal of Neural Engineering"	1741-2560	"Not Available"	3.295	3.743	0.009820
1575	"International Journal for Parasitology-Drugs and Drug Resistance"	2211-3207	217	3.294	3.519	0.000860
1576	"AMINO ACIDS"	0939-4451	"Not Available"	3.293	3.269	0.018330
1576	"CYTOTHERAPY"	1465-3249	"Not Available"	3.293	3.260	0.008090
1576	"Environmental Microbiology Reports"	1758-2229	"Not Available"	3.293	3.834	0.008940
1579	"OPTICS LETTERS"	0146-9592	"Not Available"	3.292	3.208	0.127130
158	"Annual Review of Nuclear and Particle Science"	0163-8998	"Not Available"	11.256	8.914	0.007280
1580	"International Journal of Digital Earth"	1753-8947	603	3.291	2.983	0.002010
1581	"BIOGERONTOLOGY"	1389-5729	"Not Available"	3.290	3.408	0.003570
1582	"COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE"	1530-7026	"Not Available"	3.287	4.415	0.006470
1583	"SYSTEMATIC AND APPLIED MICROBIOLOGY"	0723-2020	"Not Available"	3.283	3.320	0.005410
1584	"ATMOSPHERIC ENVIRONMENT"	1352-2310	"Not Available"	3.281	3.780	0.063150
1585	"VALUE IN HEALTH"	1098-3015	"Not Available"	3.279	3.373	0.014720
1587	"AMERICAN JOURNAL OF CARDIOLOGY"	0002-9149	"Not Available"	3.276	3.345	0.062370
1587	"CATALYSIS SURVEYS FROM ASIA"	1571-1013	697	3.276	2.943	0.000830
1589	"SEMINARS IN HEMATOLOGY"	0037-1963	"Not Available"	3.274	3.132	0.004170
159	"TRENDS IN BIOCHEMICAL SCIENCES"	0968-0004	"Not Available"	11.227	11.810	0.032380
1590	"Innovative Food Science & Emerging Technologies"	1466-8564	"Not Available"	3.273	3.699	0.007370
1591	"CALCIFIED TISSUE INTERNATIONAL"	0171-967X	"Not Available"	3.272	2.928	0.008660
1592	"Innate Immunity"	1753-4259	911	3.271	2.992	0.003670
1592	"Journal of Cancer"	1837-9664	781	3.271	3.048	0.002860
1594	"Frontiers in Behavioral Neuroscience"	1662-5153	"Not Available"	3.270	3.863	0.010510
1594	"Nutrients"	2072-6643	"Not Available"	3.270	3.671	0.009070
1594	"SURGICAL ONCOLOGY-OXFORD"	0960-7404	"Not Available"	3.270	2.795	0.003630
1597	"AMERICAN JOURNAL OF POLITICAL SCIENCE"	0092-5853	"Not Available"	3.269	4.506	0.022130
1597	"MARINE BIOTECHNOLOGY"	1436-2228	"Not Available"	3.269	3.101	0.004670
1597	"NEUROPSYCHOLOGY"	0894-4105	"Not Available"	3.269	4.447	0.009570
16	"SCIENCE"	0036-8075	"Not Available"	33.611	35.263	1.222040
160	"ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES"	0067-0049	"Not Available"	11.215	12.267	0.091090
1601	"BIOLOGICAL CHEMISTRY"	1431-6730	"Not Available"	3.268	2.856	0.010410
1601	"Journal of Neurodevelopmental Disorders"	1866-1947	551	3.268	3.850	0.003000
1601	"PRENATAL DIAGNOSIS"	0197-3851	"Not Available"	3.268	2.689	0.015320
1604	"DIABETES & METABOLISM"	1262-3636	"Not Available"	3.267	2.985	0.005430
1604	"OCCUPATIONAL AND ENVIRONMENTAL MEDICINE"	1351-0711	"Not Available"	3.267	3.354	0.012540
1606	"JOURNAL OF THE ELECTROCHEMICAL SOCIETY"	0013-4651	"Not Available"	3.266	3.268	0.061560
1607	"Child Development Perspectives"	1750-8592	"Not Available"	3.264	3.489	0.005900
1608	"JOURNAL OF CELLULAR BIOCHEMISTRY"	0730-2312	"Not Available"	3.263	3.173	0.027300
1608	"PLANTA"	0032-0935	"Not Available"	3.263	3.632	0.016810
161	"Annual Review of Fluid Mechanics"	0066-4189	"Not Available"	11.163	14.283	0.013940
1610	"TOXICOLOGY LETTERS"	0378-4274	"Not Available"	3.262	3.545	0.019420
1611	"Frontiers in Neuroinformatics"	1662-5196	864	3.261	"Not Available"	0.003900
1612	"Nutrition & Metabolism"	1743-7075	"Not Available"	3.258	3.556	0.006110
1613	"Epilepsy Currents"	1535-7597	531	3.256	2.928	0.001690
1613	"SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES"	0930-2794	"Not Available"	3.256	3.327	0.038560
1615	"DRUG METABOLISM AND DISPOSITION"	0090-9556	"Not Available"	3.252	3.614	0.019630
